year,locality,n_offers,average_price_nominal_euros,average_price_m2_nominal_euros
2010,Grand Duchy of Luxembourg,19278,569216,3251
2011,Grand Duchy of Luxembourg,21253,597784.7117112863,3375.088977834165
2012,Grand Duchy of Luxembourg,14773,596347.9723820483,3408.711731760938
2013,Grand Duchy of Luxembourg,13298,644884.9796939418,3589.7901083257543
2014,Grand Duchy of Luxembourg,9852,663639.7330491282,3647.123608155871
2015,Grand Duchy of Luxembourg,9630,724342,3943
2016,Grand Duchy of Luxembourg,9332,754509.2219486091,4124.103379667365
2017,Grand Duchy of Luxembourg,16055,812919.0678,4274.039466
2018,Grand Duchy of Luxembourg,13534,874685.96,4562.288
2019,Grand Duchy of Luxembourg,12171,970589.13,5038.614
2020,Grand Duchy of Luxembourg,11757,1180466.6,6364.361
